,0
Technology,0.11035907145305887
Healthcare,0.0
Finance,0.10124096391661058
Consumer Goods,0.10889137762410743
Energy,-0.10710954087491147
Utilities,0.07950858700622312
Real Estate,-0.06833667253199324
Materials,-0.1186830196397705
Industrials,0.0
Telecommunications,-0.1058707669533248
